id,x_km,y_km,pop,n_cells_assigned,radius_km
14,162.22900803050436,93.10152810676527,692360,1726,46.87868869980144
19,93.0686278439074,82.69863599321336,598824,846,32.82012575914278
3,178.90091933391304,51.527931103433204,430094,743,30.757389059187485
12,49.04624328178129,99.55663047054952,364680,1193,38.97402695217738
2,142.39619219243897,47.689185579990664,340721,724,30.361578193306386
4,44.98219943317649,62.46270234475384,329203,1172,38.62948027646257
13,103.9584404727222,114.31731414746602,236841,793,31.775445850136926
18,94.45675683138063,54.85780420236901,217306,522,25.780439141949365
6,25.4072806136063,113.88790103270712,176139,417,23.04215463350949
15,162.4308013963653,122.97101312167109,105703,393,22.36924542940416
7,33.66530612244898,139.6661359049114,89180,349,21.079862454783044
8,78.13601197301244,111.03058428783508,82853,208,16.273715780512877
1,82.23445130131473,40.99074322511403,74540,293,19.314740138231286
0,64.44948152948801,45.6748865845755,61720,172,14.798554040663838
10,53.27062454749838,115.00784971230424,52486,87,10.524820207108489
11,67.67908562261881,103.71040705835172,49870,42,7.312732791431452
9,60.908920561013005,126.0328203963432,35222,84,10.341765891652821
5,78.38902719566381,122.8632338574985,31733,65,9.09728368293446
16,74.01185334926032,133.86713222457044,21766,87,10.524820207108489
17,72.46637744034707,146.85089622102979,8759,84,10.341765891652821
