u,v,length_km
1,9,47.75196639456384
6,8,54.34078148388535
10,22,55.07666687956776
6,11,14.66334441254968
12,19,84.18651384347623
14,18,45.54462414999581
7,12,199.25266224143056
11,17,127.6442224803671
16,23,103.10124233654216
7,11,39.33255239878624
3,17,113.98198416174037
6,16,141.95614199194125
14,21,59.98679346769329
18,23,20.034691947903024
7,20,26.195830656775943
7,10,122.52442469035957
2,18,77.36691442368556
9,19,57.83629033569311
12,13,18.83714671281394
5,18,81.31045391169015
0,10,65.44314712801058
14,15,21.09835430769352
2,4,131.89761667440135
