u,v,length_km
11,28,80.2905451287362
2,24,152.00142606671253
4,8,122.35081538382846
10,19,72.06825670097774
14,24,93.23403144161391
14,27,71.77254356251534
12,22,149.87568085297306
2,28,87.9319877825001
17,26,62.878554241198636
21,24,57.13789563425754
18,29,129.49874647223228
25,27,44.74803061457896
20,24,34.048266025603475
4,27,172.78838228211887
2,22,181.69284094636205
26,28,139.7409392822443
3,14,112.228700929694
2,19,166.0963487745903
23,27,82.48521322200361
0,10,45.51735712406939
1,3,99.60441713286937
5,26,172.56325490935288
14,16,43.56600163539496
18,21,98.43782158936996
9,12,95.01464382051961
15,22,34.647233746417584
1,6,61.10135216651874
13,16,107.84640591641694
7,24,169.43716299242058
