u,v,length_km
2,1,23.0603759520957
27,2,19.143521627475412
6,3,27.636972399746572
0,4,12.387615975562161
20,5,14.590915156967869
7,6,20.332784970979226
12,7,20.197865305671268
15,8,22.87836323515992
8,9,22.330078836823507
11,10,26.191479929452804
9,11,28.46646262969615
13,12,18.229676070797883
16,13,20.188717043929316
21,14,28.335953216881354
14,15,20.710397883619567
17,16,22.451528668468786
14,17,20.056432933850296
29,18,22.97484134067122
22,19,14.074892472155112
23,20,9.274014608951374
30,21,19.669651584066152
25,22,18.950559419602335
22,23,13.900011670014194
30,24,16.0481014756983
29,25,14.439301713205243
27,26,7.125271336048163
8,27,18.8063509059639
29,28,12.007361904606718
24,29,14.817538833834503
31,30,19.520497965133334
4,31,28.7870326478444
