id,x_km,y_km,pop,n_cells_assigned,radius_km
12,53.1322058242266,45.30566779306237,898145,2151,52.332955780514965
2,104.36040728632138,39.529380866467214,569231,622,28.14169498849121
4,87.16358468210719,17.107413636136076,539317,294,19.347672370394786
19,102.54653230130612,169.48456192291607,389783,890,33.66278649806482
14,104.0875589602459,71.5692290840881,292146,715,30.172276587716105
3,152.59074051289264,180.14078006081593,284465,783,31.574460621325464
1,184.7180461830857,21.25134463415948,259922,306,19.738573927438622
8,129.54716761765073,139.12906255030677,223628,623,28.16430784468183
13,71.66160328673303,74.71511791967784,209083,403,22.65205369339104
0,52.48502088606686,65.7117052887445,208991,529,25.95272084319679
6,147.68841103086015,11.822466622893412,182760,245,17.66192765414112
11,64.65808402991641,11.707930048394193,181840,102,11.396070970426017
5,180.87227943577173,54.29747049090517,180707,351,21.14017691983778
7,153.71654764851112,36.563469977846324,165661,288,19.149229459268767
10,41.12171042308682,11.496632753610454,159329,207,16.23454913941803
18,68.45515174538855,163.49288759444514,94764,508,25.43237481489809
9,168.52620824933254,140.10371601373072,73412,471,24.488687706168772
16,181.33042519974285,78.3399577555331,54445,257,18.089294154193436
15,106.56181912502161,88.19372874517263,17349,93,10.881694613449236
17,181.02636133670617,99.34309679137266,15022,162,14.361922094451577
